Id,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Year Built,Year Remod/Add,Exterior 1st,Exterior 2nd,Exter Qual,Foundation,Bsmt Qual,Bsmt Cond,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Mo Sold,Yr Sold,SalePrice,total bath,total sf,age,Neighborhood Interaction,overall SF Interaction
64,92,11764,8,8,1999,2007,VinylSd,VinylSd,4,PConc,4,3,1152.0,5,1,2270,4,9,Typ,1,3,3.0,671.0,3,3,4,2010,290000,2.5,4093.0,11,32744.0,32744.0
1799,75,9000,6,8,2007,2007,CemntBd,CmentBd,4,PConc,4,3,1184.0,5,1,2610,5,11,Typ,1,3,2.0,550.0,3,3,8,2007,303477,2.5,4344.0,0,26064.0,34752.0
230,69,20062,4,7,1977,2001,Wd Sdng,Wd Sdng,4,CBlock,4,3,1420.0,4,1,1483,3,4,Typ,2,2,2.0,690.0,3,3,4,2010,270000,2.5,3593.0,33,14372.0,25151.0
1295,81,7308,0,5,1920,1950,WdShing,Wd Shng,2,BrkTil,3,3,936.0,4,0,1740,5,6,Typ,1,1,1.0,225.0,2,1,6,2008,122250,1.0,2901.0,88,0.0,14505.0
638,70,8750,0,5,1955,1955,AsbShng,AsbShng,3,CBlock,3,3,1382.0,4,1,1382,4,6,Typ,0,1,1.0,350.0,3,3,7,2009,153000,1.0,3114.0,54,0.0,15570.0
2278,70,8402,0,5,2007,2007,VinylSd,VinylSd,3,PConc,4,3,1120.0,5,1,1120,3,6,Typ,0,0,0.0,0.0,0,3,12,2007,147000,1.0,2240.0,0,0.0,11200.0
2202,63,4000,4,7,1930,1995,Wd Sdng,Wd Sdng,3,BrkTil,4,3,531.0,3,1,1098,3,5,Typ,1,1,1.0,216.0,3,3,6,2007,148500,2.0,1845.0,77,7380.0,12915.0
2833,32,3363,0,7,2004,2004,VinylSd,VinylSd,4,PConc,4,3,976.0,5,1,1708,4,7,Maj1,0,1,2.0,380.0,3,3,4,2006,130000,2.0,3064.0,2,0.0,21448.0
1707,94,13615,10,9,2006,2006,MetalSd,MetalSd,5,PConc,5,3,1802.0,5,1,1802,5,7,Typ,1,3,3.0,843.0,3,3,6,2007,372000,2.5,4447.0,1,44470.0,40023.0
2428,43,3013,2,7,2005,2005,VinylSd,VinylSd,4,PConc,4,3,1362.0,5,1,1506,4,6,Typ,1,3,2.0,440.0,3,3,4,2006,213490,2.0,3308.0,1,6616.0,23156.0
242,44,17485,0,7,2009,2010,VinylSd,VinylSd,4,PConc,4,3,1508.0,5,1,1508,4,5,Typ,2,2,2.0,572.0,3,3,1,2010,308030,2.0,3588.0,1,0.0,25116.0
1564,69,23730,0,7,1996,1997,MetalSd,MetalSd,4,PConc,5,3,1840.0,5,1,2032,4,7,Typ,0,3,3.0,786.0,3,3,9,2008,300000,4.0,4658.0,12,0.0,32606.0
2613,79,8910,0,6,1959,1959,BrkFace,BrkFace,3,CBlock,3,3,655.0,5,1,1194,3,6,Typ,1,3,2.0,539.0,3,3,7,2006,159500,1.0,2388.0,47,0.0,14328.0
2832,24,2522,0,7,2004,2004,VinylSd,VinylSd,4,PConc,4,3,970.0,5,1,1709,4,7,Maj1,0,1,2.0,380.0,3,3,4,2006,137500,2.0,3059.0,2,0.0,21413.0
2459,73,8688,6,7,2005,2005,VinylSd,VinylSd,4,PConc,4,3,1616.0,5,1,1616,4,7,Typ,0,2,3.0,834.0,3,3,4,2006,232000,2.0,4066.0,1,24396.0,28462.0
1360,69,6291,0,6,1930,1950,Stucco,Wd Shng,4,BrkTil,3,3,768.0,3,1,768,3,4,Typ,0,1,2.0,440.0,3,1,7,2008,93850,1.0,1976.0,78,0.0,11856.0
2723,69,17529,0,5,1924,1950,BrkFace,Wd Sdng,3,BrkTil,3,3,872.0,2,0,872,2,5,Mod,1,1,1.0,322.0,2,1,4,2006,105000,1.0,2066.0,82,0.0,10330.0
1350,60,6324,0,4,1927,1950,MetalSd,MetalSd,3,BrkTil,3,3,520.0,2,0,520,2,4,Typ,0,1,1.0,240.0,2,3,5,2008,68500,1.0,1280.0,81,0.0,5120.0
136,80,11600,0,5,1960,1960,MetalSd,MetalSd,3,CBlock,3,3,1105.0,3,1,2274,3,12,Typ,0,1,2.0,480.0,3,3,1,2010,154300,2.0,3859.0,50,0.0,19295.0
2235,50,7288,0,5,1925,2003,VinylSd,VinylSd,4,BrkTil,3,1,936.0,5,1,1601,3,6,Typ,0,0,0.0,0.0,0,1,9,2007,129850,2.0,2537.0,82,0.0,12685.0
1993,35,4571,0,5,1910,1950,MetalSd,MetalSd,3,BrkTil,3,3,616.0,5,1,1232,3,6,Typ,0,1,2.0,480.0,2,3,6,2007,114000,1.0,2328.0,97,0.0,11640.0
367,63,17423,7,9,2008,2009,VinylSd,VinylSd,5,PConc,5,3,2216.0,5,1,2234,5,9,Typ,1,3,3.0,1166.0,3,3,7,2009,501837,3.0,5616.0,1,39312.0,50544.0
1309,100,12665,0,5,1915,1950,Wd Sdng,Wd Sdng,3,BrkTil,3,3,876.0,4,1,1416,3,7,Typ,1,1,3.0,720.0,3,3,6,2008,153900,1.5,3012.0,93,0.0,15060.0
402,60,9000,0,4,1971,2006,VinylSd,VinylSd,3,CBlock,3,3,864.0,4,1,864,3,5,Typ,0,1,2.0,576.0,3,3,7,2009,130000,1.0,2304.0,38,0.0,9216.0
1592,32,4500,0,6,1997,1997,VinylSd,VinylSd,3,PConc,5,3,1189.0,5,1,1189,3,4,Typ,0,2,2.0,392.0,3,3,4,2008,160500,3.0,2770.0,11,0.0,16620.0
2409,48,6373,10,9,2006,2006,MetalSd,MetalSd,5,PConc,5,4,1666.0,5,1,1666,4,6,Typ,1,2,2.0,575.0,3,3,6,2006,310090,3.0,3907.0,0,39070.0,35163.0
539,67,10083,2,7,2003,2003,VinylSd,VinylSd,4,PConc,4,3,1176.0,5,1,1200,4,5,Typ,0,2,2.0,555.0,3,3,8,2009,184900,3.0,2931.0,6,5862.0,20517.0
1940,70,13300,0,5,1956,2000,Wd Sdng,Wd Sdng,3,CBlock,4,3,928.0,3,1,928,3,4,Typ,0,1,1.0,252.0,3,3,6,2007,132000,1.0,2108.0,51,0.0,10540.0
588,80,9600,3,5,1969,1969,HdBoard,HdBoard,3,CBlock,4,3,1288.0,3,1,1336,3,6,Typ,1,2,2.0,502.0,3,3,8,2009,163000,2.0,3126.0,40,9378.0,15630.0
96,30,3215,6,7,2004,2004,MetalSd,MetalSd,4,PConc,4,3,600.0,5,1,1200,4,4,Typ,0,2,2.0,480.0,3,3,4,2010,155000,2.5,2280.0,6,13680.0,15960.0
1187,69,11104,3,6,1969,1969,MetalSd,MetalSd,3,CBlock,3,3,1427.0,4,1,1427,3,7,Typ,0,2,2.0,516.0,3,3,5,2008,183000,2.0,3370.0,39,10110.0,20220.0
2154,69,15295,4,7,1996,2002,VinylSd,VinylSd,4,PConc,4,3,860.0,5,1,1992,4,7,Min2,2,2,2.0,608.0,3,3,6,2007,211000,3.5,3460.0,11,13840.0,24220.0
550,70,9109,2,7,1994,1994,VinylSd,VinylSd,4,PConc,4,3,754.0,5,1,1540,4,6,Typ,0,2,2.0,495.0,3,3,10,2009,184000,3.5,2789.0,15,5578.0,19523.0
811,64,7018,2,5,1979,1979,HdBoard,HdBoard,3,Slab,0,0,0.0,3,1,1535,3,8,Typ,0,1,2.0,400.0,3,3,6,2009,118858,2.0,1935.0,30,3870.0,9675.0
124,69,14112,0,5,1964,1964,Wd Sdng,HdBoard,3,PConc,3,3,1152.0,3,1,1152,3,6,Typ,1,2,2.0,484.0,3,3,4,2010,180500,2.0,2788.0,46,0.0,13940.0
1836,80,3523,6,8,2006,2007,VinylSd,VinylSd,4,PConc,4,3,1141.0,5,1,1151,4,5,Typ,0,3,2.0,484.0,3,3,2,2007,166000,3.0,2776.0,1,16656.0,22208.0
779,88,15312,0,6,1960,1960,Wd Sdng,Wd Sdng,3,CBlock,3,3,1138.0,5,1,1138,3,6,Typ,1,2,2.0,480.0,3,3,3,2009,148000,1.0,2756.0,49,0.0,16536.0
1886,74,7450,0,5,1956,1956,Wd Sdng,Wd Sdng,3,CBlock,3,3,894.0,4,1,1074,4,6,Min1,1,1,2.0,396.0,3,3,1,2007,124000,1.0,2364.0,51,0.0,11820.0
1724,60,7313,10,9,2005,2005,MetalSd,MetalSd,5,PConc,5,3,1561.0,5,1,1561,5,6,Typ,1,3,2.0,556.0,3,3,8,2007,277500,3.0,3678.0,2,36780.0,33102.0
2450,83,10019,8,8,1995,1995,VinylSd,VinylSd,4,PConc,4,3,1342.0,5,1,2726,4,9,Typ,1,2,3.0,725.0,3,3,6,2006,350000,2.5,4793.0,11,38344.0,38344.0
1013,53,15401,7,9,2004,2004,VinylSd,VinylSd,5,PConc,5,3,1884.0,5,1,1884,5,7,Typ,1,3,3.0,670.0,3,3,9,2008,387000,3.0,4438.0,4,31066.0,39942.0
2084,58,9098,0,4,1920,2002,Wd Sdng,Wd Sdng,3,BrkTil,3,3,528.0,5,1,605,3,5,Typ,0,0,0.0,0.0,0,1,7,2007,86000,2.0,1133.0,87,0.0,4532.0
1184,103,16280,4,8,1976,2007,VinylSd,VinylSd,5,CBlock,4,5,1426.0,5,1,1671,5,6,Typ,1,2,2.0,550.0,3,3,5,2008,290000,4.0,3647.0,32,14588.0,29176.0
728,72,9392,0,3,1900,1950,AsbShng,AsbShng,3,CBlock,2,3,245.0,3,0,797,3,5,Typ,0,0,0.0,0.0,0,1,9,2009,44000,1.0,1042.0,109,0.0,3126.0
950,71,12209,0,6,2001,2002,VinylSd,VinylSd,3,PConc,5,3,804.0,5,1,1961,4,7,Typ,1,3,2.0,560.0,3,3,6,2009,215000,3.5,3325.0,8,0.0,19950.0
2524,79,13110,3,5,1972,1972,Plywood,Plywood,3,CBlock,4,3,1153.0,5,1,1193,3,6,Typ,0,3,2.0,501.0,3,3,7,2006,146500,3.0,2847.0,34,8541.0,14235.0
2513,69,2651,6,7,2000,2000,MetalSd,MetalSd,4,PConc,4,3,673.0,5,1,1382,4,6,Typ,0,1,2.0,490.0,3,3,4,2006,165000,3.5,2545.0,6,15270.0,17815.0
2028,60,8520,0,6,1916,1950,Stucco,Stucco,3,BrkTil,3,3,714.0,3,0,2526,4,10,Typ,1,1,1.0,216.0,3,3,8,2007,136000,2.0,3456.0,91,0.0,20736.0
2309,69,39384,0,6,1957,1957,Wd Sdng,Wd Sdng,3,CBlock,4,3,1705.0,5,1,1390,5,4,Min1,2,1,2.0,550.0,3,3,10,2006,252000,2.5,3645.0,49,0.0,21870.0
51,36,2628,10,7,2003,2003,VinylSd,Wd Shng,4,PConc,4,3,764.0,5,1,1626,4,6,Typ,0,2,2.0,474.0,3,3,6,2010,175500,2.5,2864.0,7,28640.0,20048.0
699,57,6406,0,5,1939,1950,Wd Sdng,Wd Sdng,3,BrkTil,3,3,690.0,3,1,1558,3,7,Typ,1,1,2.0,400.0,3,3,10,2009,150000,1.5,2648.0,70,0.0,13240.0
1881,69,12342,0,5,1960,1978,Wd Sdng,Wd Sdng,3,CBlock,3,3,978.0,3,1,1422,3,6,Min1,1,2,1.0,286.0,3,3,8,2007,139900,1.0,2686.0,47,0.0,13430.0
1345,52,6240,0,5,1930,1992,MetalSd,MetalSd,3,PConc,3,3,1078.0,3,1,1573,3,8,Typ,1,1,2.0,360.0,3,2,6,2008,162900,2.0,3011.0,78,0.0,15055.0
166,87,10000,0,6,1962,1962,Wd Sdng,Wd Sdng,3,CBlock,3,3,1116.0,3,1,1116,3,5,Typ,0,1,2.0,440.0,3,3,2,2010,160000,1.5,2672.0,48,0.0,16032.0
781,69,9000,0,2,1947,1950,Wd Sdng,Wd Sdng,3,Slab,0,0,0.0,2,0,660,2,5,Min2,0,0,0.0,0.0,0,1,6,2009,63900,1.0,660.0,62,0.0,1320.0
379,80,11088,3,6,1978,1998,HdBoard,HdBoard,3,PConc,3,3,1140.0,4,1,1707,3,7,Typ,1,3,2.0,479.0,3,3,5,2009,184000,2.0,3326.0,31,9978.0,19956.0
2818,134,17755,0,5,1959,1959,HdBoard,Plywood,3,CBlock,3,3,1466.0,3,1,1466,2,6,Typ,2,3,2.0,528.0,3,3,11,2006,149900,1.5,3460.0,47,0.0,17300.0
1168,69,4765,6,9,2000,2000,MetalSd,MetalSd,4,PConc,4,3,1614.0,5,1,1638,5,5,Typ,1,3,2.0,495.0,3,3,7,2008,300000,3.0,3747.0,8,22482.0,33723.0
1396,69,10532,4,5,1960,1960,Plywood,Plywood,3,CBlock,3,3,988.0,4,1,1721,3,7,Mod,2,1,2.0,626.0,3,3,12,2008,145000,3.0,3335.0,48,13340.0,16675.0
838,65,15426,4,6,1997,1997,VinylSd,VinylSd,3,PConc,4,3,928.0,5,1,1764,4,7,Typ,0,2,2.0,470.0,3,3,8,2009,231500,3.5,3162.0,12,12648.0,18972.0
1492,63,13907,0,5,1940,1969,WdShing,Wd Shng,3,CBlock,3,3,996.0,5,1,996,3,6,Typ,1,0,0.0,0.0,0,3,7,2008,108000,2.0,1992.0,68,0.0,9960.0
637,70,8750,0,5,1956,1956,BrkFace,BrkFace,3,CBlock,3,3,1202.0,3,1,1202,3,6,Typ,0,2,1.0,304.0,3,3,11,2009,120000,1.0,2708.0,53,0.0,13540.0
1826,69,9945,0,5,1961,1961,Wd Sdng,Wd Sdng,3,CBlock,3,3,988.0,3,1,988,3,5,Typ,0,1,2.0,572.0,3,3,10,2007,128500,2.0,2548.0,46,0.0,12740.0
173,56,8960,0,5,1927,1950,WdShing,Wd Shng,3,CBlock,3,3,1008.0,4,1,1028,3,5,Typ,1,1,2.0,360.0,3,3,3,2010,115000,1.0,2396.0,83,0.0,11980.0
715,50,3500,0,5,1947,1950,AsbShng,AsbShng,3,CBlock,3,3,720.0,3,1,1284,3,5,Typ,0,1,1.0,240.0,3,3,4,2009,110000,1.5,2244.0,62,0.0,11220.0
1183,69,24572,4,9,1977,1977,Wd Sdng,Wd Sdng,4,CBlock,4,3,994.0,3,1,2944,4,9,Typ,1,2,3.0,864.0,3,3,6,2008,150000,3.0,4802.0,31,19208.0,43218.0
2433,74,9056,2,8,2004,2004,VinylSd,VinylSd,4,PConc,5,4,707.0,5,1,1414,4,6,Typ,1,3,2.0,403.0,3,3,10,2006,178000,2.5,2524.0,2,5048.0,20192.0
2866,70,12320,4,7,1932,1990,Wd Sdng,Wd Sdng,3,BrkTil,3,3,637.0,5,1,1609,4,8,Typ,2,1,3.0,579.0,3,3,5,2006,199500,1.5,2825.0,74,11300.0,19775.0
2311,60,8238,2,6,1997,1998,VinylSd,VinylSd,3,PConc,3,3,813.0,5,1,1525,3,6,Typ,1,3,2.0,400.0,3,3,5,2006,183500,3.5,2738.0,9,5476.0,16428.0
