Id,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Year Built,Year Remod/Add,Exterior 1st,Exterior 2nd,Exter Qual,Foundation,Bsmt Qual,Bsmt Cond,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Mo Sold,Yr Sold,SalePrice,total bath,total sf,age
2752,64,7488,CollgCr,7,2005,2005,VinylSd,VinylSd,4,PConc,4,3,1208.0,5,1,1208,4,6,Typ,0,,2,2.0,632.0,3,3,2,2006,183600,2.0,3048.0,1
807,120,26400,SawyerW,5,1880,2007,HdBoard,HdBoard,4,PConc,0,0,0.0,5,1,2016,3,7,Mod,1,,1,2.0,576.0,3,2,6,2009,131000,1.0,2592.0,129
1177,24,2645,Somerst,8,1999,2000,MetalSd,MetalSd,4,PConc,4,3,960.0,5,1,1607,4,7,Typ,0,,1,2.0,480.0,3,3,12,2008,200000,3.5,3047.0,9
1480,74,9627,CollgCr,7,2007,2007,VinylSd,VinylSd,4,PConc,4,3,1351.0,5,1,1361,4,6,Typ,0,,2,2.0,610.0,3,3,6,2008,193000,2.0,3322.0,1
324,93,10114,Mitchel,5,2004,2005,VinylSd,VinylSd,3,PConc,5,3,1430.0,5,1,1430,4,7,Typ,0,,2,2.0,624.0,3,3,3,2010,173500,2.0,3484.0,6
1311,34,4571,OldTown,5,1916,1950,AsbShng,AsbShng,3,BrkTil,3,3,624.0,2,0,1344,3,7,Typ,0,,1,3.0,513.0,2,3,5,2008,98000,1.0,2481.0,92
770,80,8816,Sawyer,5,1963,1963,VinylSd,VinylSd,3,PConc,3,3,1121.0,3,1,1121,3,5,Typ,0,,1,2.0,480.0,3,3,6,2009,139000,2.0,2722.0,46
2063,71,8197,Sawyer,6,1977,1977,Plywood,Plywood,3,CBlock,3,3,660.0,5,1,1285,3,7,Typ,1,,2,2.0,528.0,3,3,4,2007,143500,1.5,2473.0,30
69,72,8640,Somerst,7,2009,2009,VinylSd,VinylSd,3,PConc,4,3,756.0,5,1,1547,4,7,Typ,0,,1,2.0,614.0,3,3,6,2010,215200,2.5,2917.0,1
2062,109,8724,Sawyer,5,1968,1968,VinylSd,VinylSd,3,CBlock,4,3,894.0,4,1,894,3,5,Typ,1,,3,2.0,450.0,3,3,5,2007,129000,1.0,2238.0,39
351,40,5664,StoneBr,8,2000,2000,CemntBd,CmentBd,4,PConc,4,3,1501.0,5,1,1659,5,5,Typ,1,,3,2.0,499.0,3,3,10,2009,278000,3.0,3659.0,9
2393,103,12867,NridgHt,8,2005,2006,CemntBd,CmentBd,4,PConc,5,3,1209.0,5,1,2253,5,8,Typ,1,,3,2.0,575.0,3,3,7,2006,344133,2.5,4037.0,1
12,69,7980,Gilbert,6,1992,2007,HdBoard,HdBoard,3,PConc,4,3,1168.0,5,1,1187,3,6,Typ,0,,3,2.0,420.0,3,3,3,2010,185000,3.0,2775.0,18
2339,100,34650,Gilbert,5,1955,1955,Wd Sdng,Wd Sdng,3,CBlock,3,3,1056.0,3,0,1056,3,5,Typ,0,,3,2.0,572.0,3,3,1,2006,145000,2.0,2684.0,51
624,92,10573,NAmes,6,1961,1961,MetalSd,MetalSd,3,CBlock,3,3,1453.0,5,1,1453,3,6,Typ,1,,2,2.0,530.0,3,3,4,2009,187500,3.0,3436.0,48
86,65,8450,Sawyer,5,1965,2009,MetalSd,MetalSd,3,CBlock,3,3,894.0,5,1,894,3,5,Typ,1,,1,1.0,336.0,3,3,4,2010,138500,2.0,2124.0,45
1534,69,11700,Crawfor,5,1937,1995,WdShing,Wd Shng,3,CBlock,3,3,942.0,5,1,1938,4,7,Min2,1,,1,1.0,240.0,3,3,7,2008,198000,2.0,3120.0,71
2243,75,8250,IDOTRR,5,1895,2006,VinylSd,VinylSd,3,CBlock,3,3,957.0,2,0,1991,3,9,Typ,0,,0,0.0,0.0,0,1,6,2007,119600,2.0,2948.0,112
1957,60,8064,NAmes,5,1949,2006,MetalSd,MetalSd,3,CBlock,3,3,672.0,5,1,924,3,6,Typ,1,,1,2.0,576.0,3,3,7,2007,122900,1.0,2172.0,58
380,80,9600,NWAmes,8,1981,1981,BrkFace,BrkFace,4,PConc,4,3,2524.0,3,1,2524,4,9,Typ,1,,3,2.0,542.0,3,3,7,2009,278000,3.5,5590.0,28
2860,69,11435,Crawfor,8,1929,1950,BrkFace,Stucco,3,PConc,4,3,792.0,2,1,1517,4,7,Typ,2,,1,2.0,400.0,3,3,6,2006,230000,1.0,2709.0,77
2517,30,9549,Veenker,8,1995,1996,BrkFace,BrkFace,4,PConc,4,4,1494.0,5,1,1494,5,6,Typ,1,,3,2.0,481.0,3,3,4,2006,270000,2.5,3469.0,11
1933,60,10950,NAmes,6,1952,1952,Wd Sdng,Wd Sdng,3,CBlock,3,3,948.0,3,1,948,3,5,Typ,0,,1,2.0,410.0,3,1,4,2007,125000,1.0,2306.0,55
820,79,10637,CollgCr,8,2007,2008,VinylSd,VinylSd,4,PConc,5,3,1705.0,5,1,1718,4,7,Typ,1,,2,3.0,826.0,3,3,9,2009,297000,3.0,4249.0,2
675,80,9000,NAmes,6,1958,1958,Wd Sdng,Wd Sdng,3,CBlock,4,3,160.0,2,1,1142,3,5,Typ,1,,2,1.0,384.0,3,3,4,2009,113500,1.0,1686.0,51
2910,41,2665,MeadowV,5,1977,1977,CemntBd,CmentBd,3,PConc,3,3,757.0,5,1,1475,3,6,Typ,1,,2,1.0,336.0,3,3,7,2006,127000,2.0,2568.0,29
21,105,11751,NWAmes,6,1977,1977,Plywood,Plywood,3,CBlock,4,3,1844.0,5,1,1844,3,7,Typ,1,,2,2.0,546.0,3,3,1,2010,190000,2.0,4234.0,33
1873,80,9600,NWAmes,7,1973,1973,HdBoard,HdBoard,3,CBlock,3,3,1242.0,2,1,1242,3,6,Typ,1,,1,2.0,528.0,3,3,9,2007,175500,1.5,3012.0,34
2125,60,8428,CollgCr,5,1994,1994,VinylSd,VinylSd,3,PConc,4,4,990.0,5,1,990,3,5,Typ,0,,1,1.0,384.0,3,3,7,2007,146000,2.0,2364.0,13
1489,75,9937,Edwards,5,1965,1965,HdBoard,HdBoard,4,CBlock,3,3,1256.0,4,1,1256,3,6,Typ,0,,3,1.0,276.0,3,3,6,2008,147500,2.5,2788.0,43
2383,107,13891,NridgHt,10,2006,2006,VinylSd,VinylSd,5,PConc,5,4,2076.0,5,1,2076,5,7,Typ,1,,3,3.0,850.0,3,3,9,2006,465000,3.5,5002.0,0
983,69,9101,Mitchel,5,1978,1978,Plywood,Plywood,3,PConc,4,3,1097.0,5,1,1110,4,4,Typ,1,,3,2.0,602.0,3,3,7,2009,165500,2.0,2809.0,31
1325,81,12150,OldTown,5,1954,1954,MetalSd,MetalSd,3,BrkTil,3,3,1050.0,5,0,1795,3,7,Typ,0,,1,1.0,352.0,2,3,11,2008,131500,2.0,3197.0,54
1378,70,11200,Sawyer,5,1965,1965,HdBoard,HdBoard,3,CBlock,3,3,1040.0,5,1,1040,3,5,Typ,0,,1,1.0,384.0,3,3,2,2008,129500,2.0,2464.0,43
1537,100,9670,Crawfor,8,1935,1950,BrkFace,Stucco,3,PConc,3,2,608.0,3,1,1873,3,9,Typ,2,,3,2.0,786.0,2,3,6,2008,257076,1.5,3267.0,73
905,60,10998,Edwards,5,1941,1960,Wd Sdng,Wd Sdng,3,CBlock,3,3,984.0,5,1,1604,3,6,Min2,0,,1,2.0,660.0,3,3,7,2009,117000,2.0,3248.0,68
1532,60,7200,Crawfor,7,1931,2000,Stucco,Wd Shng,3,BrkTil,4,3,776.0,3,1,1502,3,6,Typ,1,,2,1.0,270.0,3,2,2,2008,149000,1.5,2548.0,77
132,80,9920,NAmes,5,1954,1954,HdBoard,HdBoard,3,CBlock,3,3,1056.0,3,1,1063,3,6,Typ,0,,2,1.0,280.0,3,3,2,2010,128000,2.0,2399.0,56
1078,36,2448,NridgHt,7,2003,2004,VinylSd,Wd Shng,4,PConc,4,3,764.0,5,1,1626,4,6,Typ,0,,2,2.0,474.0,3,3,10,2008,155000,2.5,2864.0,5
2511,69,2998,Somerst,6,2000,2000,MetalSd,MetalSd,4,PConc,4,3,756.0,5,1,1524,4,4,Typ,0,,1,2.0,440.0,3,3,6,2006,166000,2.5,2720.0,6
912,65,7804,SWISU,4,1928,1950,WdShing,Plywood,3,BrkTil,3,3,1122.0,3,1,1981,4,7,Min2,2,,1,2.0,576.0,3,3,12,2009,135000,3.0,3679.0,81
2351,80,16692,NWAmes,7,1978,1978,Plywood,Plywood,3,CBlock,4,3,1392.0,3,1,2784,4,12,Typ,2,,2,2.0,564.0,3,3,7,2006,250000,4.5,4740.0,28
330,21,1476,MeadowV,4,1970,1970,CemntBd,CmentBd,3,CBlock,3,3,546.0,5,1,1092,3,5,Typ,0,,0,0.0,0.0,0,3,3,2010,76000,1.5,1638.0,40
2586,75,10170,NAmes,6,1951,1951,Wd Sdng,Wd Sdng,3,CBlock,3,3,216.0,3,1,1575,4,5,Typ,1,,1,2.0,400.0,3,3,6,2006,155000,1.5,2191.0,55
224,80,9364,Sawyer,6,1969,1969,HdBoard,HdBoard,3,CBlock,3,3,663.0,3,1,1352,3,7,Typ,0,,3,1.0,299.0,3,3,3,2010,158000,1.5,2314.0,41
98,24,2544,Somerst,7,2004,2005,MetalSd,MetalSd,4,PConc,4,3,600.0,5,1,1200,4,4,Typ,0,,2,2.0,480.0,3,3,2,2010,149500,3.5,2280.0,6
2565,82,9888,NAmes,5,1954,1975,MetalSd,MetalSd,3,CBlock,3,3,936.0,3,1,936,3,5,Typ,0,,1,1.0,240.0,3,3,3,2006,121000,1.0,2112.0,52
1934,68,7942,NAmes,6,1953,1953,Wd Sdng,Wd Sdng,3,CBlock,3,3,1040.0,3,1,1040,3,6,Typ,0,,3,1.0,293.0,3,3,6,2007,136000,1.0,2373.0,54
997,69,15038,Gilbert,6,1996,1996,HdBoard,HdBoard,3,PConc,4,3,916.0,4,1,1636,3,7,Typ,1,,3,2.0,386.0,3,3,11,2008,173000,2.5,2938.0,12
64,92,11764,NoRidge,8,1999,2007,VinylSd,VinylSd,4,PConc,4,3,1152.0,5,1,2270,4,9,Typ,1,,3,3.0,671.0,3,3,4,2010,290000,2.5,4093.0,11
1799,75,9000,Somerst,8,2007,2007,CemntBd,CmentBd,4,PConc,4,3,1184.0,5,1,2610,5,11,Typ,1,,3,2.0,550.0,3,3,8,2007,303477,2.5,4344.0,0
230,69,20062,ClearCr,7,1977,2001,Wd Sdng,Wd Sdng,4,CBlock,4,3,1420.0,4,1,1483,3,4,Typ,2,,2,2.0,690.0,3,3,4,2010,270000,2.5,3593.0,33
1295,81,7308,OldTown,5,1920,1950,WdShing,Wd Shng,2,BrkTil,3,3,936.0,4,0,1740,5,6,Typ,1,,1,1.0,225.0,2,1,6,2008,122250,1.0,2901.0,88
638,70,8750,NAmes,5,1955,1955,AsbShng,AsbShng,3,CBlock,3,3,1382.0,4,1,1382,4,6,Typ,0,,1,1.0,350.0,3,3,7,2009,153000,1.0,3114.0,54
2278,70,8402,Mitchel,5,2007,2007,VinylSd,VinylSd,3,PConc,4,3,1120.0,5,1,1120,3,6,Typ,0,,0,0.0,0.0,0,3,12,2007,147000,1.0,2240.0,0
2202,63,4000,Crawfor,7,1930,1995,Wd Sdng,Wd Sdng,3,BrkTil,4,3,531.0,3,1,1098,3,5,Typ,1,,1,1.0,216.0,3,3,6,2007,148500,2.0,1845.0,77
2833,32,3363,Edwards,7,2004,2004,VinylSd,VinylSd,4,PConc,4,3,976.0,5,1,1708,4,7,Maj1,0,,1,2.0,380.0,3,3,4,2006,130000,2.0,3064.0,2
1707,94,13615,NridgHt,9,2006,2006,MetalSd,MetalSd,5,PConc,5,3,1802.0,5,1,1802,5,7,Typ,1,,3,3.0,843.0,3,3,6,2007,372000,2.5,4447.0,1
2428,43,3013,Blmngtn,7,2005,2005,VinylSd,VinylSd,4,PConc,4,3,1362.0,5,1,1506,4,6,Typ,1,,3,2.0,440.0,3,3,4,2006,213490,2.0,3308.0,1
242,44,17485,Edwards,7,2009,2010,VinylSd,VinylSd,4,PConc,4,3,1508.0,5,1,1508,4,5,Typ,2,,2,2.0,572.0,3,3,1,2010,308030,2.0,3588.0,1
1564,69,23730,Mitchel,7,1996,1997,MetalSd,MetalSd,4,PConc,5,3,1840.0,5,1,2032,4,7,Typ,0,,3,3.0,786.0,3,3,9,2008,300000,4.0,4658.0,12
2613,79,8910,NAmes,6,1959,1959,BrkFace,BrkFace,3,CBlock,3,3,655.0,5,1,1194,3,6,Typ,1,,3,2.0,539.0,3,3,7,2006,159500,1.0,2388.0,47
2832,24,2522,Edwards,7,2004,2004,VinylSd,VinylSd,4,PConc,4,3,970.0,5,1,1709,4,7,Maj1,0,,1,2.0,380.0,3,3,4,2006,137500,2.0,3059.0,2
2459,73,8688,Somerst,7,2005,2005,VinylSd,VinylSd,4,PConc,4,3,1616.0,5,1,1616,4,7,Typ,0,,2,3.0,834.0,3,3,4,2006,232000,2.0,4066.0,1
1360,69,6291,IDOTRR,6,1930,1950,Stucco,Wd Shng,4,BrkTil,3,3,768.0,3,1,768,3,4,Typ,0,,1,2.0,440.0,3,1,7,2008,93850,1.0,1976.0,78
2723,69,17529,Sawyer,5,1924,1950,BrkFace,Wd Sdng,3,BrkTil,3,3,872.0,2,0,872,2,5,Mod,1,,1,1.0,322.0,2,1,4,2006,105000,1.0,2066.0,82
1350,60,6324,BrkSide,4,1927,1950,MetalSd,MetalSd,3,BrkTil,3,3,520.0,2,0,520,2,4,Typ,0,,1,1.0,240.0,2,3,5,2008,68500,1.0,1280.0,81
136,80,11600,NAmes,5,1960,1960,MetalSd,MetalSd,3,CBlock,3,3,1105.0,3,1,2274,3,12,Typ,0,,1,2.0,480.0,3,3,1,2010,154300,2.0,3859.0,50
2235,50,7288,IDOTRR,5,1925,2003,VinylSd,VinylSd,4,BrkTil,3,1,936.0,5,1,1601,3,6,Typ,0,,0,0.0,0.0,0,1,9,2007,129850,2.0,2537.0,82
1993,35,4571,OldTown,5,1910,1950,MetalSd,MetalSd,3,BrkTil,3,3,616.0,5,1,1232,3,6,Typ,0,,1,2.0,480.0,2,3,6,2007,114000,1.0,2328.0,97
367,63,17423,StoneBr,9,2008,2009,VinylSd,VinylSd,5,PConc,5,3,2216.0,5,1,2234,5,9,Typ,1,,3,3.0,1166.0,3,3,7,2009,501837,3.0,5616.0,1
1309,100,12665,OldTown,5,1915,1950,Wd Sdng,Wd Sdng,3,BrkTil,3,3,876.0,4,1,1416,3,7,Typ,1,,1,3.0,720.0,3,3,6,2008,153900,1.5,3012.0,93
402,60,9000,NAmes,4,1971,2006,VinylSd,VinylSd,3,CBlock,3,3,864.0,4,1,864,3,5,Typ,0,,1,2.0,576.0,3,3,7,2009,130000,1.0,2304.0,38
1592,32,4500,Mitchel,6,1997,1997,VinylSd,VinylSd,3,PConc,5,3,1189.0,5,1,1189,3,4,Typ,0,,2,2.0,392.0,3,3,4,2008,160500,3.0,2770.0,11
2409,48,6373,NridgHt,9,2006,2006,MetalSd,MetalSd,5,PConc,5,4,1666.0,5,1,1666,4,6,Typ,1,,2,2.0,575.0,3,3,6,2006,310090,3.0,3907.0,0
539,67,10083,SawyerW,7,2003,2003,VinylSd,VinylSd,4,PConc,4,3,1176.0,5,1,1200,4,5,Typ,0,,2,2.0,555.0,3,3,8,2009,184900,3.0,2931.0,6
1940,70,13300,NAmes,5,1956,2000,Wd Sdng,Wd Sdng,3,CBlock,4,3,928.0,3,1,928,3,4,Typ,0,,1,1.0,252.0,3,3,6,2007,132000,1.0,2108.0,51
588,80,9600,NWAmes,5,1969,1969,HdBoard,HdBoard,3,CBlock,4,3,1288.0,3,1,1336,3,6,Typ,1,,2,2.0,502.0,3,3,8,2009,163000,2.0,3126.0,40
96,30,3215,Somerst,7,2004,2004,MetalSd,MetalSd,4,PConc,4,3,600.0,5,1,1200,4,4,Typ,0,,2,2.0,480.0,3,3,4,2010,155000,2.5,2280.0,6
1187,69,11104,NWAmes,6,1969,1969,MetalSd,MetalSd,3,CBlock,3,3,1427.0,4,1,1427,3,7,Typ,0,,2,2.0,516.0,3,3,5,2008,183000,2.0,3370.0,39
2154,69,15295,CollgCr,7,1996,2002,VinylSd,VinylSd,4,PConc,4,3,860.0,5,1,1992,4,7,Min2,2,,2,2.0,608.0,3,3,6,2007,211000,3.5,3460.0,11
550,70,9109,SawyerW,7,1994,1994,VinylSd,VinylSd,4,PConc,4,3,754.0,5,1,1540,4,6,Typ,0,,2,2.0,495.0,3,3,10,2009,184000,3.5,2789.0,15
811,64,7018,SawyerW,5,1979,1979,HdBoard,HdBoard,3,Slab,0,0,0.0,3,1,1535,3,8,Typ,0,,1,2.0,400.0,3,3,6,2009,118858,2.0,1935.0,30
124,69,14112,NAmes,5,1964,1964,Wd Sdng,HdBoard,3,PConc,3,3,1152.0,3,1,1152,3,6,Typ,1,,2,2.0,484.0,3,3,4,2010,180500,2.0,2788.0,46
1836,80,3523,Somerst,8,2006,2007,VinylSd,VinylSd,4,PConc,4,3,1141.0,5,1,1151,4,5,Typ,0,,3,2.0,484.0,3,3,2,2007,166000,3.0,2776.0,1
779,88,15312,Sawyer,6,1960,1960,Wd Sdng,Wd Sdng,3,CBlock,3,3,1138.0,5,1,1138,3,6,Typ,1,,2,2.0,480.0,3,3,3,2009,148000,1.0,2756.0,49
1886,74,7450,NAmes,5,1956,1956,Wd Sdng,Wd Sdng,3,CBlock,3,3,894.0,4,1,1074,4,6,Min1,1,,1,2.0,396.0,3,3,1,2007,124000,1.0,2364.0,51
1724,60,7313,NridgHt,9,2005,2005,MetalSd,MetalSd,5,PConc,5,3,1561.0,5,1,1561,5,6,Typ,1,,3,2.0,556.0,3,3,8,2007,277500,3.0,3678.0,2
2450,83,10019,NoRidge,8,1995,1995,VinylSd,VinylSd,4,PConc,4,3,1342.0,5,1,2726,4,9,Typ,1,,2,3.0,725.0,3,3,6,2006,350000,2.5,4793.0,11
1013,53,15401,StoneBr,9,2004,2004,VinylSd,VinylSd,5,PConc,5,3,1884.0,5,1,1884,5,7,Typ,1,,3,3.0,670.0,3,3,9,2008,387000,3.0,4438.0,4
2084,58,9098,Edwards,4,1920,2002,Wd Sdng,Wd Sdng,3,BrkTil,3,3,528.0,5,1,605,3,5,Typ,0,,0,0.0,0.0,0,1,7,2007,86000,2.0,1133.0,87
1184,103,16280,Veenker,8,1976,2007,VinylSd,VinylSd,5,CBlock,4,5,1426.0,5,1,1671,5,6,Typ,1,,2,2.0,550.0,3,3,5,2008,290000,4.0,3647.0,32
728,72,9392,IDOTRR,3,1900,1950,AsbShng,AsbShng,3,CBlock,2,3,245.0,3,0,797,3,5,Typ,0,,0,0.0,0.0,0,1,9,2009,44000,1.0,1042.0,109
950,71,12209,Mitchel,6,2001,2002,VinylSd,VinylSd,3,PConc,5,3,804.0,5,1,1961,4,7,Typ,1,,3,2.0,560.0,3,3,6,2009,215000,3.5,3325.0,8
2524,79,13110,NWAmes,5,1972,1972,Plywood,Plywood,3,CBlock,4,3,1153.0,5,1,1193,3,6,Typ,0,,3,2.0,501.0,3,3,7,2006,146500,3.0,2847.0,34
2513,69,2651,Somerst,7,2000,2000,MetalSd,MetalSd,4,PConc,4,3,673.0,5,1,1382,4,6,Typ,0,,1,2.0,490.0,3,3,4,2006,165000,3.5,2545.0,6
2028,60,8520,OldTown,6,1916,1950,Stucco,Stucco,3,BrkTil,3,3,714.0,3,0,2526,4,10,Typ,1,,1,1.0,216.0,3,3,8,2007,136000,2.0,3456.0,91
2309,69,39384,NAmes,6,1957,1957,Wd Sdng,Wd Sdng,3,CBlock,4,3,1705.0,5,1,1390,5,4,Min1,2,,1,2.0,550.0,3,3,10,2006,252000,2.5,3645.0,49
51,36,2628,NridgHt,7,2003,2003,VinylSd,Wd Shng,4,PConc,4,3,764.0,5,1,1626,4,6,Typ,0,,2,2.0,474.0,3,3,6,2010,175500,2.5,2864.0,7
699,57,6406,OldTown,5,1939,1950,Wd Sdng,Wd Sdng,3,BrkTil,3,3,690.0,3,1,1558,3,7,Typ,1,,1,2.0,400.0,3,3,10,2009,150000,1.5,2648.0,70
1881,69,12342,NAmes,5,1960,1978,Wd Sdng,Wd Sdng,3,CBlock,3,3,978.0,3,1,1422,3,6,Min1,1,,2,1.0,286.0,3,3,8,2007,139900,1.0,2686.0,47
1345,52,6240,BrkSide,5,1930,1992,MetalSd,MetalSd,3,PConc,3,3,1078.0,3,1,1573,3,8,Typ,1,,1,2.0,360.0,3,2,6,2008,162900,2.0,3011.0,78
166,87,10000,NAmes,6,1962,1962,Wd Sdng,Wd Sdng,3,CBlock,3,3,1116.0,3,1,1116,3,5,Typ,0,,1,2.0,440.0,3,3,2,2010,160000,1.5,2672.0,48
781,69,9000,Sawyer,2,1947,1950,Wd Sdng,Wd Sdng,3,Slab,0,0,0.0,2,0,660,2,5,Min2,0,,0,0.0,0.0,0,1,6,2009,63900,1.0,660.0,62
379,80,11088,NWAmes,6,1978,1998,HdBoard,HdBoard,3,PConc,3,3,1140.0,4,1,1707,3,7,Typ,1,,3,2.0,479.0,3,3,5,2009,184000,2.0,3326.0,31
2818,134,17755,Edwards,5,1959,1959,HdBoard,Plywood,3,CBlock,3,3,1466.0,3,1,1466,2,6,Typ,2,,3,2.0,528.0,3,3,11,2006,149900,1.5,3460.0,47
1168,69,4765,Somerst,9,2000,2000,MetalSd,MetalSd,4,PConc,4,3,1614.0,5,1,1638,5,5,Typ,1,,3,2.0,495.0,3,3,7,2008,300000,3.0,3747.0,8
1396,69,10532,ClearCr,5,1960,1960,Plywood,Plywood,3,CBlock,3,3,988.0,4,1,1721,3,7,Mod,2,,1,2.0,626.0,3,3,12,2008,145000,3.0,3335.0,48
838,65,15426,CollgCr,6,1997,1997,VinylSd,VinylSd,3,PConc,4,3,928.0,5,1,1764,4,7,Typ,0,,2,2.0,470.0,3,3,8,2009,231500,3.5,3162.0,12
1492,63,13907,Edwards,5,1940,1969,WdShing,Wd Shng,3,CBlock,3,3,996.0,5,1,996,3,6,Typ,1,,0,0.0,0.0,0,3,7,2008,108000,2.0,1992.0,68
637,70,8750,NAmes,5,1956,1956,BrkFace,BrkFace,3,CBlock,3,3,1202.0,3,1,1202,3,6,Typ,0,,2,1.0,304.0,3,3,11,2009,120000,1.0,2708.0,53
1826,69,9945,Sawyer,5,1961,1961,Wd Sdng,Wd Sdng,3,CBlock,3,3,988.0,3,1,988,3,5,Typ,0,,1,2.0,572.0,3,3,10,2007,128500,2.0,2548.0,46
173,56,8960,OldTown,5,1927,1950,WdShing,Wd Shng,3,CBlock,3,3,1008.0,4,1,1028,3,5,Typ,1,,1,2.0,360.0,3,3,3,2010,115000,1.0,2396.0,83
715,50,3500,OldTown,5,1947,1950,AsbShng,AsbShng,3,CBlock,3,3,720.0,3,1,1284,3,5,Typ,0,,1,1.0,240.0,3,3,4,2009,110000,1.5,2244.0,62
1183,69,24572,Veenker,9,1977,1977,Wd Sdng,Wd Sdng,4,CBlock,4,3,994.0,3,1,2944,4,9,Typ,1,,2,3.0,864.0,3,3,6,2008,150000,3.0,4802.0,31
2433,74,9056,Gilbert,8,2004,2004,VinylSd,VinylSd,4,PConc,5,4,707.0,5,1,1414,4,6,Typ,1,,3,2.0,403.0,3,3,10,2006,178000,2.5,2524.0,2
2866,70,12320,Crawfor,7,1932,1990,Wd Sdng,Wd Sdng,3,BrkTil,3,3,637.0,5,1,1609,4,8,Typ,2,,1,3.0,579.0,3,3,5,2006,199500,1.5,2825.0,74
2311,60,8238,Gilbert,6,1997,1998,VinylSd,VinylSd,3,PConc,3,3,813.0,5,1,1525,3,6,Typ,1,,3,2.0,400.0,3,3,5,2006,183500,3.5,2738.0,9
1551,75,6000,IDOTRR,5,1967,1967,HdBoard,Plywood,2,CBlock,4,3,624.0,5,1,1656,3,7,Mod,1,,1,1.0,288.0,3,3,7,2008,126000,1.5,2568.0,41
1049,24,2529,NPkVill,7,1977,1977,Plywood,Brk Cmn,3,CBlock,4,3,1055.0,2,1,1055,3,4,Typ,0,,1,2.0,440.0,3,3,9,2008,148500,2.0,2550.0,31
657,60,10800,OldTown,5,1939,2006,VinylSd,VinylSd,3,BrkTil,3,3,676.0,5,1,1352,4,7,Typ,0,,1,2.0,720.0,3,3,8,2009,149000,2.0,2748.0,70
414,24,2349,NPkVill,6,1977,1977,Plywood,Brk Cmn,3,CBlock,4,3,855.0,3,1,1456,3,6,Typ,1,,1,2.0,440.0,3,3,5,2009,137900,2.5,2751.0,32
1181,32,10846,Veenker,8,1993,1993,BrkFace,BrkFace,4,PConc,4,3,1719.0,5,1,1719,4,6,Typ,2,,3,2.0,473.0,3,3,5,2008,324000,3.5,3911.0,15
1514,67,5604,Edwards,5,1925,1950,Stucco,Stucco,3,CBlock,3,3,864.0,3,0,864,3,5,Typ,0,,0,0.0,0.0,0,3,4,2008,98000,2.0,1728.0,83
